type,entry_time,entry_price,stop_loss,take_profit,orb_high,orb_low,orb_range,position_size,exit_time,exit_price,exit_reason,pnl,symbol,trade_duration,capital_after,cumulative_pnl,running_max,drawdown,symbol_name,category
SHORT,2025-07-30 09:55:00-04:00,195.33989633789065,196.79509816894532,192.42989267578133,196.7949981689453,195.33999633789065,1.455001831054659,51,2025-07-30 11:05:00-04:00,196.79509816894532,STOP_LOSS,-74.21529338378795,GOOGL,70.0,9925.784706616212,-74.21529338378795,-74.21529338378795,0.0,Google,stocks
SHORT,2025-07-30 10:00:00-04:00,230.62749399414065,231.80010305175782,228.28267587890633,231.8000030517578,230.62759399414065,1.172409057617159,43,2025-07-30 16:00:00-04:00,231.80010305175782,STOP_LOSS,-50.422189477538126,AMZN,360.0,9949.577810522462,-50.422189477538126,-50.422189477538126,0.0,Amazon,stocks
LONG,2025-07-30 15:00:00+01:00,1.1472836566925049,1.1464259790420532,1.1485990119934082,1.1471836566925049,1.1465259790420532,0.0006576776504516602,8716,2025-07-30 16:10:00+01:00,1.1485990119934082,TAKE_PROFIT,11.46463680267334,EURUSD=X,70.0,10011.464636802673,11.46463680267334,11.46463680267334,0.0,EUR/USD,forex
LONG,2025-07-30 10:20:00-04:00,636.23008046875,635.2898780273438,638.1100853515625,636.22998046875,635.2899780273438,0.94000244140625,15,2025-07-30 11:10:00-04:00,635.2898780273438,STOP_LOSS,-14.103036621092997,SPY,50.0,9985.896963378907,-14.103036621092997,-14.103036621092997,0.0,S&P 500 ETF,stocks
LONG,2025-07-30 10:30:00-04:00,513.885109765625,510.67128671875,520.312355859375,513.885009765625,510.67138671875,3.213623046875,19,2025-07-30 14:55:00-04:00,510.67128671875,STOP_LOSS,-61.062637890624046,MSFT,265.0,9938.937362109376,-61.062637890624046,-61.062637890624046,0.0,Microsoft,stocks
LONG,2025-07-30 10:50:00-04:00,23526.5001,23450.2499,23679.0001,23526.5,23450.25,76.25,1,2025-07-30 14:55:00-04:00,23450.2499,STOP_LOSS,-76.25020000000222,MNQ=F,245.0,9923.749799999998,-76.25020000000222,-76.25020000000222,0.0,Micro Nasdaq,futures
LONG,2025-07-30 10:50:00-04:00,23526.2501,23450.7499,23677.2501,23526.25,23450.75,75.5,1,2025-07-30 14:55:00-04:00,23450.7499,STOP_LOSS,-75.50020000000222,NQ=F,245.0,9924.499799999998,-75.50020000000222,-75.50020000000222,0.0,Nasdaq Futures,futures
LONG,2025-07-30 10:50:00-04:00,569.1100853515625,567.26991953125,572.7900169921875,569.1099853515625,567.27001953125,1.8399658203125,17,2025-07-30 14:55:00-04:00,567.26991953125,STOP_LOSS,-31.282818945311647,QQQ,245.0,9968.717181054688,-31.282818945311647,-31.282818945311647,0.0,Nasdaq ETF,stocks
SHORT,2025-07-30 10:55:00-04:00,319.9999,324.4499901367187,311.1001197265625,324.44989013671875,320.0,4.44989013671875,22,2025-07-30 16:50:00-04:00,324.4499901367187,STOP_LOSS,-97.9019830078114,TSLA,355.0,9902.09801699219,-97.9019830078114,-97.9019830078114,0.0,Tesla,stocks
SHORT,2025-07-30 11:00:00-04:00,210.33989633789065,212.39009938964844,206.23989023437508,212.38999938964844,210.33999633789065,2.050003051757784,47,2025-07-30 16:50:00-04:00,212.39009938964844,STOP_LOSS,-96.35954343261616,AAPL,350.0,9903.640456567384,-96.35954343261616,-96.35954343261616,0.0,Apple,stocks
