symbol,interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,total_trades
AAPL,15m,15,0.5,0.01,-9.99934044604488,-9.99934044604488,0.5753434056463503,66
AAPL,15m,15,0.5,0.02,-12.414289289428762,-12.414289289428762,0.5626799343482431,66
AAPL,15m,15,1.0,0.01,-13.53893110009769,-13.53893110009769,0.5714606732273004,66
AAPL,15m,15,1.0,0.02,-15.912743278320304,-15.912743278320304,0.574190535978024,66
AAPL,15m,15,2.0,0.01,-25.822975257080188,-25.822975257080188,0.33878218806236454,65
AAPL,15m,15,2.0,0.02,-30.60424583325198,-30.60424583325198,0.329034982062358,65
AAPL,5m,5,0.5,0.01,0.3572492559812963,0.3572492559812963,1.0183148069263719,82
AAPL,5m,5,0.5,0.02,-0.588014045898617,-0.588014045898617,0.9731210250602995,82
AAPL,5m,5,1.0,0.01,-0.7850049030764422,-0.7850049030764422,0.9732914076209341,82
AAPL,5m,5,1.0,0.02,-1.2149849965823343,-1.2149849965823343,0.9625135075774071,82
AAPL,5m,5,2.0,0.01,-5.918616135254087,-5.918616135254087,0.845837105701026,81
AAPL,5m,5,2.0,0.02,-5.622226981445529,-5.622226981445529,0.865771860764893,81
AAPL,5m,15,0.5,0.01,-8.0545525441895,-8.0545525441895,0.672508423412338,77
AAPL,5m,15,0.5,0.02,-9.770992631469799,-9.770992631469799,0.6544434280301759,77
AAPL,5m,15,1.0,0.01,-6.260699919189537,-6.260699919189537,0.804936184735879,77
AAPL,5m,15,1.0,0.02,-6.951923103027438,-6.951923103027438,0.8103398528404735,77
AAPL,5m,15,2.0,0.01,-11.681065147705159,-11.681065147705159,0.7162503331240295,76
AAPL,5m,15,2.0,0.02,-15.12530983618175,-15.12530983618175,0.6789934603725905,76
AMZN,15m,15,0.5,0.01,1.9280811745605204,1.9280811745605204,1.1378748709228397,55
AMZN,15m,15,0.5,0.02,2.267899773925783,2.267899773925783,1.127297959108113,55
AMZN,15m,15,1.0,0.01,-6.971530514648439,-6.971530514648439,0.7249723522298103,54
AMZN,15m,15,1.0,0.02,-10.500339447753959,-10.500339447753959,0.6762375998186617,54
AMZN,15m,15,2.0,0.01,-3.0162202614745,-3.0162202614745,0.8982559595153587,52
AMZN,15m,15,2.0,0.02,-6.854879871337853,-6.854879871337853,0.8222951422881277,52
AMZN,5m,5,0.5,0.01,1.8436158007810264,1.8436158007810264,1.105177863302515,80
AMZN,5m,5,0.5,0.02,1.6754015035398515,1.6754015035398515,1.0830328936112796,80
AMZN,5m,5,1.0,0.01,0.963673487548749,0.963673487548749,1.0346428696160583,80
AMZN,5m,5,1.0,0.02,1.0613514531249166,1.0613514531249166,1.0335658894354516,80
AMZN,5m,5,2.0,0.01,-2.7675598327638,-2.7675598327638,0.9230803628565966,78
AMZN,5m,5,2.0,0.02,-1.7989968793946172,-1.7989968793946172,0.9553622913278043,78
AMZN,5m,15,0.5,0.01,-3.321713019897452,-3.321713019897452,0.8344401686402576,69
AMZN,5m,15,0.5,0.02,-5.414030950927772,-5.414030950927772,0.7848619952477776,69
AMZN,5m,15,1.0,0.01,-7.231025828125039,-7.231025828125039,0.7584594165584091,69
AMZN,5m,15,1.0,0.02,-8.850225249755932,-8.850225249755932,0.754081180641252,69
AMZN,5m,15,2.0,0.01,-0.6710808054198424,-0.6710808054198424,0.9816459835633988,68
AMZN,5m,15,2.0,0.02,-6.129522672363183,-6.129522672363183,0.866010014808425,68
EURUSD=X,15m,15,0.5,0.01,-0.3763961735505836,-0.3763961735505836,0.885144006141256,75
EURUSD=X,15m,15,0.5,0.02,-0.3763961735505836,-0.3763961735505836,0.885144006141256,75
EURUSD=X,15m,15,1.0,0.01,0.48885797363289385,0.48885797363289385,1.112192697467093,74
EURUSD=X,15m,15,1.0,0.02,0.48885797363289385,0.48885797363289385,1.112192697467093,74
EURUSD=X,15m,15,2.0,0.01,0.85560037920779,0.85560037920779,1.1683581465471742,60
EURUSD=X,15m,15,2.0,0.02,0.85560037920779,0.85560037920779,1.1683581465471742,60
EURUSD=X,5m,5,0.5,0.01,0.9139424031135058,0.9139424031135058,1.681801274714899,97
EURUSD=X,5m,5,0.5,0.02,0.9139424031135058,0.9139424031135058,1.681801274714899,97
EURUSD=X,5m,5,1.0,0.01,1.6802981970234034,1.6802981970234034,1.795574026630306,95
EURUSD=X,5m,5,1.0,0.02,1.6802981970234034,1.6802981970234034,1.795574026630306,95
EURUSD=X,5m,5,2.0,0.01,2.1698427153474404,2.1698427153474404,1.6421304677189292,93
EURUSD=X,5m,5,2.0,0.02,2.1698427153474404,2.1698427153474404,1.6421304677189292,93
EURUSD=X,5m,15,0.5,0.01,0.772815935986564,0.772815935986564,1.3434418910119788,88
EURUSD=X,5m,15,0.5,0.02,0.772815935986564,0.772815935986564,1.3434418910119788,88
EURUSD=X,5m,15,1.0,0.01,1.4290488767681928,1.4290488767681928,1.4022753228652654,88
EURUSD=X,5m,15,1.0,0.02,1.4290488767681928,1.4290488767681928,1.4022753228652654,88
EURUSD=X,5m,15,2.0,0.01,0.9804787220117214,0.9804787220117214,1.2113331776810645,71
EURUSD=X,5m,15,2.0,0.02,0.9804787220117214,0.9804787220117214,1.2113331776810645,71
GC=F,15m,15,0.5,0.01,2.916962628906185,2.916962628906185,2.776432590419168,48
GC=F,15m,15,0.5,0.02,2.916962628906185,2.916962628906185,2.776432590419168,48
GC=F,15m,15,1.0,0.01,3.7539321406248742,3.7539321406248742,2.2164173386956043,46
