symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl,data_points,start,end
COST,COST,stocks,5m,5,2.0,0.01,314,0.3853503184713376,1.1840086366396494,28.59038700000137,-1260.907499999983,2859.0387000001256,47231,2023-09-26 12:25:00+00:00,2025-09-24 23:15:00+00:00
NFLX,NFLX,stocks,5m,5,2.0,0.01,297,0.43097643097643096,1.3955305341980995,89.14702204000139,-1905.488999999976,8914.702204000128,56997,2023-08-10 08:00:00+00:00,2025-08-08 23:40:00+00:00
QQQ,QQQ,stocks,5m,5,2.0,0.01,328,0.45426829268292684,1.549147484316736,51.545191000002234,-795.6893999999829,5154.519100000203,47305,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
GOOGL,GOOGL,stocks,5m,5,2.0,0.01,146,0.4520547945205479,1.5801584369058597,50.9505059999999,-1066.2910000000002,5095.050599999984,44735,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
DIA,DIA,stocks,5m,5,2.0,0.01,593,0.3996627318718381,1.2839477297606439,35.4956830000051,-696.8064999999633,3549.568300000526,62874,2023-08-10 08:00:00+00:00,2025-08-08 23:50:00+00:00
AAPL,AAPL,stocks,5m,5,2.0,0.01,170,0.3941176470588235,1.3198894082649473,31.811184999999785,-1012.2637000000041,3181.118499999964,45993,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
MSFT,MSFT,stocks,5m,5,2.0,0.01,177,0.3954802259887006,1.3934540337067265,35.06150300000165,-1297.1224999999813,3506.1503000001594,40932,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AMZN,AMZN,stocks,5m,5,2.0,0.01,202,0.400990099009901,1.3623773087485471,45.39848899999952,-1171.7096000000058,4539.8488999999645,45895,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
META,META,stocks,5m,5,2.0,0.01,206,0.34951456310679613,1.0172280178645183,2.134462000001186,-1481.7452999999377,213.44620000010866,40360,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
SPY,SPY,stocks,5m,5,2.0,0.01,349,0.4498567335243553,1.5949539869646834,36.05020400000248,-382.9169999999858,3605.0204000002477,46889,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
COST,COST,stocks,5m,5,2.0,0.02,314,0.3853503184713376,1.215338858081263,39.31686200000146,-1791.9203999999718,3931.6862000001383,47231,2023-09-26 12:25:00+00:00,2025-09-24 23:15:00+00:00
NFLX,NFLX,stocks,5m,5,2.0,0.02,297,0.43097643097643096,1.366113431307177,115.60106720000162,-2832.841399999992,11560.106720000158,56997,2023-08-10 08:00:00+00:00,2025-08-08 23:40:00+00:00
QQQ,QQQ,stocks,5m,5,2.0,0.02,328,0.45426829268292684,1.5692477464056065,53.80820300000221,-814.2697999999828,5380.820300000203,47305,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
GOOGL,GOOGL,stocks,5m,5,2.0,0.02,146,0.4520547945205479,1.5882277264017564,64.39126099999969,-1337.1212000000014,6439.126099999981,44735,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
DIA,DIA,stocks,5m,5,2.0,0.02,593,0.3996627318718381,1.2922842626230246,36.68059000000507,-696.8064999999633,3668.0590000005272,62874,2023-08-10 08:00:00+00:00,2025-08-08 23:50:00+00:00
AAPL,AAPL,stocks,5m,5,2.0,0.02,170,0.3941176470588235,1.3596987404593852,44.33955799999967,-1220.4566000000068,4433.955799999955,45993,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
MSFT,MSFT,stocks,5m,5,2.0,0.02,177,0.3954802259887006,1.4551601771675353,45.557557000001765,-1527.6483999999787,4555.7557000001725,40932,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AMZN,AMZN,stocks,5m,5,2.0,0.02,202,0.400990099009901,1.3071862838820463,47.574602999999605,-1205.0290000000064,4757.460299999959,45895,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
META,META,stocks,5m,5,2.0,0.02,206,0.34951456310679613,0.9461991750393555,-8.242522999998656,-2447.209599999924,-824.2522999998837,40360,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
SPY,SPY,stocks,5m,5,2.0,0.02,349,0.4498567335243553,1.5803140283362542,35.5791320000025,-382.9169999999858,3557.913200000249,46889,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
COST,COST,stocks,5m,5,1.0,0.01,510,0.6058823529411764,1.5002306736275939,95.60334100000168,-873.1363999999903,9560.334100000127,47231,2023-09-26 12:25:00+00:00,2025-09-24 23:15:00+00:00
NFLX,NFLX,stocks,5m,5,1.0,0.01,460,0.6065217391304348,1.481077334762163,118.30499102000165,-2074.446799999976,11830.499102000169,56997,2023-08-10 08:00:00+00:00,2025-08-08 23:40:00+00:00
QQQ,QQQ,stocks,5m,5,1.0,0.01,349,0.6303724928366762,1.4831284543169883,31.812712000001518,-922.5531999999826,3181.271200000151,47305,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
GOOGL,GOOGL,stocks,5m,5,1.0,0.01,256,0.59765625,1.414280068049357,48.8851399999995,-1197.1518000000124,4888.513999999945,44735,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
DIA,DIA,stocks,5m,5,1.0,0.01,686,0.5641399416909622,1.2530006462874974,25.022614000004197,-626.975799999972,2502.2614000003996,62874,2023-08-10 08:00:00+00:00,2025-08-08 23:50:00+00:00
AAPL,AAPL,stocks,5m,5,1.0,0.01,241,0.5809128630705395,1.3370857388846165,32.94111999999956,-560.6782000000039,3294.111999999956,45993,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
MSFT,MSFT,stocks,5m,5,1.0,0.01,261,0.578544061302682,1.3223711218391467,28.98217900000134,-570.2619999999888,2898.2179000001515,40932,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AMZN,AMZN,stocks,5m,5,1.0,0.01,270,0.5888888888888889,1.3890081795746456,44.07473099999948,-778.1363000000129,4407.473099999966,45895,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
META,META,stocks,5m,5,1.0,0.01,267,0.5468164794007491,1.1340046581409988,16.098196000000733,-1026.11929999999,1609.8196000000949,40360,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
SPY,SPY,stocks,5m,5,1.0,0.01,364,0.6373626373626373,1.5897657003472199,24.17844100000133,-461.73609999997734,2417.844100000144,46889,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
COST,COST,stocks,5m,5,1.0,0.02,510,0.6058823529411764,1.5032538383227105,112.89546700000166,-1468.384499999982,11289.54670000014,47231,2023-09-26 12:25:00+00:00,2025-09-24 23:15:00+00:00
NFLX,NFLX,stocks,5m,5,1.0,0.02,460,0.6065217391304348,1.4488258281146744,154.5131835300021,-2581.281999999974,15451.318353000206,56997,2023-08-10 08:00:00+00:00,2025-08-08 23:40:00+00:00
QQQ,QQQ,stocks,5m,5,1.0,0.02,349,0.6303724928366762,1.4835479698215455,32.152839000001514,-944.1585999999829,3215.2839000001527,47305,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
GOOGL,GOOGL,stocks,5m,5,1.0,0.02,256,0.59765625,1.4331657816624688,62.38136899999929,-1320.4282000000167,6238.136899999934,44735,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
DIA,DIA,stocks,5m,5,1.0,0.02,686,0.5641399416909622,1.256445946597227,25.447140000004204,-626.975799999972,2544.7140000004,62874,2023-08-10 08:00:00+00:00,2025-08-08 23:50:00+00:00
AAPL,AAPL,stocks,5m,5,1.0,0.02,241,0.5809128630705395,1.329627309571236,38.526063999999586,-1139.9769000000074,3852.606399999951,45993,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
MSFT,MSFT,stocks,5m,5,1.0,0.02,261,0.578544061302682,1.3063817102647357,30.492447000001523,-716.7631999999876,3049.24470000016,40932,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AMZN,AMZN,stocks,5m,5,1.0,0.02,270,0.5888888888888889,1.306812565462956,41.74045199999962,-1008.6985000000025,4174.04519999996,45895,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
META,META,stocks,5m,5,1.0,0.02,267,0.5468164794007491,1.098908777123185,15.286932000001089,-1867.8866999999677,1528.693200000108,40360,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
SPY,SPY,stocks,5m,5,1.0,0.02,364,0.6373626373626373,1.5707447977857025,23.732027000001363,-523.2880999999759,2373.202700000145,46889,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
COST,COST,stocks,5m,5,0.5,0.01,585,0.7504273504273504,1.4421623306627085,54.289092000000835,-487.95089999999345,5428.909200000081,47231,2023-09-26 12:25:00+00:00,2025-09-24 23:15:00+00:00
NFLX,NFLX,stocks,5m,5,0.5,0.01,579,0.7875647668393783,1.7585924044301322,129.41392447500115,-881.2994499999768,12941.392447500148,56997,2023-08-10 08:00:00+00:00,2025-08-08 23:40:00+00:00
QQQ,QQQ,stocks,5m,5,0.5,0.01,353,0.8101983002832861,1.796345675858708,28.032063000000978,-208.0653999999954,2803.2063000000862,47305,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
GOOGL,GOOGL,stocks,5m,5,0.5,0.01,293,0.7747440273037542,1.5911061796561348,44.992589499999795,-806.2167999999974,4499.258949999978,44735,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
DIA,DIA,stocks,5m,5,0.5,0.01,718,0.7520891364902507,1.4364304149918856,26.142991000002546,-671.022899999974,2614.2991000002285,62874,2023-08-10 08:00:00+00:00,2025-08-08 23:50:00+00:00
AAPL,AAPL,stocks,5m,5,0.5,0.01,299,0.745819397993311,1.4391367510542397,31.447825499999688,-739.0420000000054,3144.7825499999713,45993,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
MSFT,MSFT,stocks,5m,5,0.5,0.01,305,0.8,1.8814358690641353,47.71942100000102,-354.85379999999486,4771.942100000083,40932,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AMZN,AMZN,stocks,5m,5,0.5,0.01,306,0.7712418300653595,1.6556118670576863,47.83630749999975,-642.8660000000032,4783.630749999987,45895,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
META,META,stocks,5m,5,0.5,0.01,301,0.7508305647840532,1.424357750507661,33.51416300000075,-695.0814999999925,3351.4163000000626,40360,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
SPY,SPY,stocks,5m,5,0.5,0.01,369,0.8428184281842819,2.50748335238563,26.232158000000457,-126.58069999999657,2623.2158000000504,46889,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
COST,COST,stocks,5m,5,0.5,0.02,585,0.7504273504273504,1.4266856569074207,59.292002500000876,-594.2770499999897,5929.200250000085,47231,2023-09-26 12:25:00+00:00,2025-09-24 23:15:00+00:00
NFLX,NFLX,stocks,5m,5,0.5,0.02,579,0.7875647668393783,1.7390807611293952,175.87077619500178,-1329.3331999999937,17587.077619500174,56997,2023-08-10 08:00:00+00:00,2025-08-08 23:40:00+00:00
QQQ,QQQ,stocks,5m,5,0.5,0.02,353,0.8101983002832861,1.7903167372718767,28.0905700000009,-241.06639999999493,2809.057000000086,47305,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
GOOGL,GOOGL,stocks,5m,5,0.5,0.02,293,0.7747440273037542,1.579191817344602,53.532346999999646,-977.506599999997,5353.234699999973,44735,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
DIA,DIA,stocks,5m,5,0.5,0.02,718,0.7520891364902507,1.4382864476550328,26.328683000002567,-671.022899999974,2632.8683000002284,62874,2023-08-10 08:00:00+00:00,2025-08-08 23:50:00+00:00
AAPL,AAPL,stocks,5m,5,0.5,0.02,299,0.745819397993311,1.4343580082293466,36.62924099999966,-891.8909000000062,3662.924099999968,45993,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
MSFT,MSFT,stocks,5m,5,0.5,0.02,305,0.8,1.8404060933995243,50.63031300000104,-438.3979999999938,5063.031300000088,40932,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AMZN,AMZN,stocks,5m,5,0.5,0.02,306,0.7712418300653595,1.5176094386296728,47.2773254999999,-947.8386000000055,4727.732549999982,45895,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
META,META,stocks,5m,5,0.5,0.02,301,0.7508305647840532,1.407782056889987,42.0350430000009,-962.7364999999891,4203.504300000073,40360,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
SPY,SPY,stocks,5m,5,0.5,0.02,369,0.8428184281842819,2.485717900188768,26.218909500000482,-151.1814999999965,2621.890950000051,46889,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
