symbol,name,category,avg_return,median_return,best_return,worst_return,avg_profit_factor,total_trades,positive_ratio
AAPL,Apple,stocks,-9.99492589957015,-8.91277258782965,0.3572492559812963,-30.60424583325198,0.7182118397495033,1344,0.05555555555555555
AMZN,Amazon,stocks,-2.988172341132308,-2.89189004711915,2.267899773925783,-10.500339447753959,0.9167386007495631,1210,0.3333333333333333
EURUSD=X,EUR/USD,forex,0.990498781060103,0.9139424031135058,2.1698427153474404,-0.3763961735505836,1.360250112308663,1482,0.8888888888888888
GC=F,Gold,commodities,3.9087066362845855,2.929984207031193,8.117935812499855,1.7649535585936609,2.44962333562596,938,1.0
GLD,Gold ETF,commodities,6.818535046929568,5.654562196289407,13.848365351074483,3.9481936933595896,2.2245104332056247,1308,1.0
GOOGL,Google,stocks,-17.30255456412766,-17.869633374389696,-0.015306044921890133,-29.2159546716309,0.566007579290009,1236,0.0
MSFT,Microsoft,stocks,-4.8518628341874255,-4.147476451659795,2.9638030095217616,-16.612175648437148,0.8257277329275771,1268,0.2222222222222222
QQQ,Nasdaq ETF,stocks,6.367723759657194,7.1368182626953605,10.588346595703205,0.8325743510742905,1.9704606894125622,1316,1.0
SPY,S&P 500 ETF,stocks,1.6663945040151278,1.427518973633396,3.1932054497072206,0.5653509492192097,1.3270366972960888,1438,1.0
TSLA,Tesla,stocks,-4.955509919880771,0.12144765918010308,16.224524612549157,-29.936970861327573,0.9675536747895299,1300,0.5
