symbol,name,category,avg_return,median_return,best_return,worst_return,avg_profit_factor,total_trades,positive_ratio
AAPL,Apple,stocks,-7.076233511494975,-4.750037604858463,-1.7282725354004835,-22.690692157226586,0.7347423999529663,954,0.0
AMZN,Amazon,stocks,-0.444912251912482,0.4151575177001541,5.073763101806453,-7.482342776611331,1.0265950802620143,828,0.5
GC=F,Gold,commodities,4.188046680338406,2.88246189648431,9.208944113281104,1.6329218124998262,2.5064100929326876,938,1.0
GLD,Gold ETF,commodities,5.09918957828805,3.747659533203805,11.46118888378931,2.8153868620607136,2.396862006934218,918,1.0
GOOGL,Google,stocks,-9.03186229651556,-11.601885754272416,1.548382106811532,-17.381719687499952,0.6919432384793597,848,0.1111111111111111
MNQ=F,Micro Nasdaq,futures,16.576361555555252,17.15246599999962,27.09247099999968,7.121233999999823,2.424008721157983,872,1.0
MSFT,Microsoft,stocks,-3.6689362458764796,-3.3901378215328624,1.1064087211916012,-11.310059464843599,0.8105446540013822,862,0.1111111111111111
NQ=F,Nasdaq Futures,futures,14.693581888888566,14.757440999999345,19.54746699999963,5.938729999999778,2.492649477736701,842,1.0
QQQ,Nasdaq ETF,stocks,6.296657613525432,6.267385083496157,8.268636403320343,2.9997319453125235,2.499398729432523,926,1.0
SPY,S&P 500 ETF,stocks,2.1124704341365597,2.0940361152346854,3.2080336835940395,0.6687970595705701,1.5752695121039817,1030,1.0
TSLA,Tesla,stocks,-5.747732005791274,-2.5046868566891867,6.5649827319338145,-25.227508980468283,0.8737286251773153,912,0.3333333333333333
