symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl
MSFT,Microsoft,stocks,5m,5,1.0,0.02,78,0.5384615384615384,0.9897503540668053,-0.24330123144487517,-839.7615653320172,-24.330123144492745
GOOGL,Google,stocks,5m,5,1.0,0.02,81,0.35802469135802467,0.43967926934947926,-25.051820882812514,-2794.252964672859,-2505.182088281254
AMZN,Amazon,stocks,5m,5,1.0,0.02,80,0.5125,1.0335658894354516,1.0613514531249166,-719.6131495117338,106.13514531248325
TSLA,Tesla,stocks,5m,5,1.0,0.02,79,0.5316455696202531,1.108294386802991,5.3435290161138616,-1589.4766141601294,534.3529016113837
SPY,S&P 500 ETF,stocks,5m,5,1.0,0.02,89,0.550561797752809,1.1759451058084422,1.1464730400395091,-138.76310478514415,114.64730400393682
QQQ,Nasdaq ETF,stocks,5m,5,1.0,0.02,85,0.6470588235294118,1.8477931407836259,7.1368182626953605,-113.42357753905708,713.6818262695576
MNQ=F,Micro Nasdaq,futures,5m,5,0.5,0.01,72,0.875,2.9478624092103973,14.058731999999798,-162.25040000000445,1405.87319999998
NQ=F,Nasdaq Futures,futures,5m,5,0.5,0.01,72,0.8888888888888888,3.7571858363529524,16.763733999999822,-161.62540000000445,1676.3733999999822
EURUSD=X,EUR/USD,forex,5m,5,0.5,0.01,97,0.8350515463917526,1.681801274714899,0.9139424031135058,-41.565389630126575,91.39424031134915
GC=F,Gold,commodities,5m,5,0.5,0.01,60,0.8833333333333333,4.084103002259953,2.929984207031193,-23.40030234375081,292.99842070311934
GLD,Gold ETF,commodities,5m,5,0.5,0.01,82,0.8780487804878049,3.3644708181128835,5.053049880371254,-49.22622631835611,505.3049880371273
AAPL,Apple,stocks,5m,5,0.5,0.01,82,0.6829268292682927,1.0183148069263719,0.3572492559812963,-655.9988137695362,35.724925598127754
MSFT,Microsoft,stocks,5m,5,0.5,0.01,78,0.7051282051282052,1.1264427916665565,1.7317330349123767,-400.8621332519402,173.1733034912363
GOOGL,Google,stocks,5m,5,0.5,0.01,83,0.6144578313253012,0.7250709151448766,-7.209872714965932,-1123.9090186401413,-720.9872714965913
AMZN,Amazon,stocks,5m,5,0.5,0.01,80,0.6875,1.105177863302515,1.8436158007810264,-358.8414916259809,184.36158007810945
TSLA,Tesla,stocks,5m,5,0.5,0.01,79,0.759493670886076,1.6070723703763015,11.221419431396752,-462.09314907225644,1122.1419431396707
SPY,S&P 500 ETF,stocks,5m,5,0.5,0.01,89,0.8089887640449438,2.2107428474742026,3.1932054497072206,-31.802926757811747,319.3205449707161
QQQ,Nasdaq ETF,stocks,5m,5,0.5,0.01,85,0.9058823529411765,5.069773266691223,8.834195942382813,-45.003599999999096,883.419594238288
MNQ=F,Micro Nasdaq,futures,5m,5,0.5,0.02,72,0.875,2.9478624092103973,14.058731999999798,-162.25040000000445,1405.87319999998
NQ=F,Nasdaq Futures,futures,5m,5,0.5,0.02,72,0.8888888888888888,3.7571858363529524,16.763733999999822,-161.62540000000445,1676.3733999999822
EURUSD=X,EUR/USD,forex,5m,5,0.5,0.02,97,0.8350515463917526,1.681801274714899,0.9139424031135058,-41.565389630126575,91.39424031134915
GC=F,Gold,commodities,5m,5,0.5,0.02,60,0.8833333333333333,4.084103002259953,2.929984207031193,-23.40030234375081,292.99842070311934
