symbol,net_pnl,avg_return,win_rate,trades
NFLX,1050.0,1.75,1.0,6
JPM,1050.0,1.75,1.0,6
GC=F,600.0,0.5,0.6666666666666666,12
AAPL,450.0,0.75,0.6666666666666666,6
NVDA,450.0,0.75,0.6666666666666666,6
META,450.0,0.75,0.6666666666666666,6
HD,450.0,0.75,0.6666666666666666,6
MES=F,450.0,0.75,0.6666666666666666,6
ES=F,450.0,0.75,0.6666666666666666,6
AMZN,450.0,0.75,0.6666666666666666,6
USDJPY=X,450.0,0.75,0.6666666666666666,6
QQQ,450.0,0.75,0.6666666666666666,6
SPY,300.0,0.25,0.6666666666666666,12
UNH,150.0,0.25,0.3333333333333333,6
AUDUSD=X,150.0,0.125,0.5,12
CL=F,150.0,0.25,0.3333333333333333,6
EURUSD=X,150.0,0.125,0.5,12
BA,0.0,0.0,0.0,6
XOM,0.0,0.0,0.0,6
SI=F,0.0,0.0,0.5,12
GOOGL,0.0,0.0,0.0,6
AMD,-450.0,-0.375,0.3333333333333333,12
MSFT,-450.0,-0.375,0.3333333333333333,12
GBPUSD=X,-900.0,-0.75,0.3333333333333333,12
GLD,-900.0,-0.75,0.3333333333333333,12
TSLA,-1350.0,-1.125,0.16666666666666666,12
