Datetime,Open,High,Low,Close,Volume,Symbol
2025-10-20 04:00:00-04:00,393.66,393.66,391.88,393.6,0,HD
2025-10-20 04:05:00-04:00,393.27,393.27,393.27,393.27,0,HD
2025-10-20 04:15:00-04:00,393.27,393.27,393.0,393.0,0,HD
2025-10-20 04:25:00-04:00,393.06,393.06,393.06,393.06,0,HD
2025-10-20 04:30:00-04:00,393.06,393.06,393.06,393.06,0,HD
2025-10-20 04:35:00-04:00,393.06,393.06,393.0,393.0,0,HD
2025-10-20 04:45:00-04:00,393.04,393.04,393.0,393.0,0,HD
2025-10-20 04:50:00-04:00,393.0,393.0,393.0,393.0,0,HD
2025-10-20 04:55:00-04:00,393.48,393.48,393.48,393.48,0,HD
2025-10-20 05:00:00-04:00,393.03,393.03,393.02,393.02,0,HD
2025-10-20 05:15:00-04:00,393.02,393.02,392.45,392.45,0,HD
2025-10-20 05:30:00-04:00,392.45,393.02,392.45,393.02,0,HD
2025-10-20 05:40:00-04:00,393.02,393.02,393.0,393.0,0,HD
2025-10-20 05:50:00-04:00,393.48,393.48,393.0,393.0,0,HD
2025-10-20 06:00:00-04:00,393.0,393.0,393.0,393.0,0,HD
2025-10-20 06:05:00-04:00,393.0,393.0,392.88,392.88,0,HD
2025-10-20 06:15:00-04:00,393.0,393.0,393.0,393.0,0,HD
2025-10-20 06:30:00-04:00,393.0,393.0,393.0,393.0,0,HD
2025-10-20 06:40:00-04:00,392.88,392.88,392.26,392.66,0,HD
2025-10-20 06:45:00-04:00,392.24,392.24,391.9,391.9,0,HD
2025-10-20 06:50:00-04:00,391.99,391.99,391.99,391.99,0,HD
2025-10-20 06:55:00-04:00,392.04,392.25,392.01,392.02,0,HD
2025-10-20 07:00:00-04:00,392.41,392.41,392.0,392.06,0,HD
2025-10-20 07:05:00-04:00,392.0,392.01,391.64,391.64,0,HD
2025-10-20 07:10:00-04:00,392.05,392.11,391.59,391.6,0,HD
2025-10-20 07:15:00-04:00,391.6,391.6,391.6,391.6,0,HD
2025-10-20 07:30:00-04:00,391.6,391.88,391.59,391.59,0,HD
2025-10-20 07:40:00-04:00,391.89,391.89,391.89,391.89,0,HD
2025-10-20 07:45:00-04:00,391.89,391.89,391.89,391.89,0,HD
2025-10-20 07:50:00-04:00,391.89,391.89,391.89,391.89,0,HD
2025-10-20 07:55:00-04:00,391.59,391.89,391.59,391.89,0,HD
2025-10-20 08:00:00-04:00,391.9,394.36,387.98,391.95,0,HD
