group,net_pnl,avg_return,win_rate,trades
MNQ=F,-450.0,-0.375,0.3333333333333333,12
NQ=F,-450.0,-0.375,0.3333333333333333,12
Others (aggregate),-4350.0,-0.25,0.3518518518518518,90
