Datetime,Open,High,Low,Close,Volume,Symbol
2025-09-29 04:00:00-04:00,221.86,222.25,221.65,222.2,0,AMZN
2025-09-29 04:05:00-04:00,222.21,222.89,222.19,222.38,0,AMZN
2025-09-29 04:10:00-04:00,222.31,223.0,222.31,222.75,0,AMZN
2025-09-29 04:15:00-04:00,222.75,222.8,222.45,222.45,0,AMZN
2025-09-29 04:20:00-04:00,222.48,222.8,222.48,222.64,0,AMZN
2025-09-29 04:25:00-04:00,222.64,222.74,222.45,222.5,0,AMZN
2025-09-29 04:30:00-04:00,222.57,222.67,222.49,222.63,0,AMZN
2025-09-29 04:35:00-04:00,222.63,222.74,222.43,222.74,0,AMZN
2025-09-29 04:40:00-04:00,222.73,222.73,222.54,222.6,0,AMZN
2025-09-29 04:45:00-04:00,222.62,222.7,222.57,222.57,0,AMZN
2025-09-29 04:50:00-04:00,222.6,222.73,222.53,222.53,0,AMZN
2025-09-29 04:55:00-04:00,222.59,222.7,222.59,222.68,0,AMZN
2025-09-29 05:00:00-04:00,222.67,222.69,222.5,222.6,0,AMZN
2025-09-29 05:05:00-04:00,222.54,222.64,222.4,222.4,0,AMZN
2025-09-29 05:10:00-04:00,222.41,222.47,222.38,222.47,0,AMZN
2025-09-29 05:15:00-04:00,222.45,222.45,222.4,222.44,0,AMZN
2025-09-29 05:20:00-04:00,222.44,222.47,222.3,222.4,0,AMZN
2025-09-29 05:25:00-04:00,222.4,222.62,222.4,222.55,0,AMZN
2025-09-29 05:30:00-04:00,222.55,222.57,222.4,222.5,0,AMZN
2025-09-29 05:35:00-04:00,222.5,222.6,222.44,222.58,0,AMZN
2025-09-29 05:40:00-04:00,222.56,222.63,222.54,222.58,0,AMZN
2025-09-29 05:45:00-04:00,222.54,222.58,222.34,222.34,0,AMZN
2025-09-29 05:50:00-04:00,222.39,222.46,222.28,222.32,0,AMZN
2025-09-29 05:55:00-04:00,222.33,222.35,222.3,222.33,0,AMZN
2025-09-29 06:00:00-04:00,222.33,222.43,222.33,222.39,0,AMZN
2025-09-29 06:05:00-04:00,222.35,222.45,222.34,222.38,0,AMZN
2025-09-29 06:10:00-04:00,222.43,222.43,222.38,222.4,0,AMZN
2025-09-29 06:15:00-04:00,222.45,222.47,222.43,222.47,0,AMZN
2025-09-29 06:20:00-04:00,222.45,222.55,222.41,222.54,0,AMZN
2025-09-29 06:25:00-04:00,222.51,222.57,222.43,222.51,0,AMZN
2025-09-29 06:30:00-04:00,222.51,222.52,222.42,222.51,0,AMZN
2025-09-29 06:35:00-04:00,222.49,222.68,222.48,222.64,0,AMZN
2025-09-29 06:40:00-04:00,222.64,222.75,222.57,222.73,0,AMZN
2025-09-29 06:45:00-04:00,222.74,222.77,222.65,222.72,0,AMZN
2025-09-29 06:50:00-04:00,222.74,222.82,222.7,222.7,0,AMZN
2025-09-29 06:55:00-04:00,222.73,222.73,222.41,222.47,0,AMZN
2025-09-29 07:00:00-04:00,222.51,222.51,222.03,222.15,0,AMZN
2025-09-29 07:05:00-04:00,222.12,222.12,221.89,221.93,0,AMZN
2025-09-29 07:10:00-04:00,221.88,222.1,221.84,222.06,0,AMZN
2025-09-29 07:15:00-04:00,222.06,222.08,221.84,221.91,0,AMZN
2025-09-29 07:20:00-04:00,221.93,221.93,221.85,221.85,0,AMZN
2025-09-29 07:25:00-04:00,221.84,221.87,221.72,221.8,0,AMZN
2025-09-29 07:30:00-04:00,221.8,221.82,221.64,221.67,0,AMZN
2025-09-29 07:35:00-04:00,221.72,221.82,221.65,221.7,0,AMZN
2025-09-29 07:40:00-04:00,221.73,221.73,221.6,221.64,0,AMZN
2025-09-29 07:45:00-04:00,221.64,221.82,221.64,221.81,0,AMZN
2025-09-29 07:50:00-04:00,221.81,221.89,221.73,221.88,0,AMZN
2025-09-29 07:55:00-04:00,221.88,221.95,221.82,221.95,0,AMZN
2025-09-29 08:00:00-04:00,222.84,222.95,220.329,221.87,0,AMZN
2025-09-29 08:05:00-04:00,221.87,221.95,221.8183,221.91,0,AMZN
2025-09-29 08:10:00-04:00,221.925,221.98,221.85,221.9496,0,AMZN
2025-09-29 08:15:00-04:00,221.94,221.95,221.79,221.8,0,AMZN
2025-09-29 08:20:00-04:00,221.82,221.9,221.76,221.81,0,AMZN
2025-09-29 08:25:00-04:00,221.81,221.889,221.7695,221.79,0,AMZN
2025-09-29 08:30:00-04:00,221.8088,221.87,221.75,221.87,0,AMZN
2025-09-29 08:35:00-04:00,221.81,221.9,221.8,221.83,0,AMZN
2025-09-29 08:40:00-04:00,221.9,221.9,221.73,221.75,0,AMZN
2025-09-29 08:45:00-04:00,221.75,221.8,221.64,221.675,0,AMZN
2025-09-29 08:50:00-04:00,221.7,221.7,221.62,221.65,0,AMZN
2025-09-29 08:55:00-04:00,221.656,221.75,221.62,221.6905,0,AMZN
2025-09-29 09:00:00-04:00,221.7,221.75,221.67,221.675,0,AMZN
2025-09-29 09:05:00-04:00,221.69,221.7,221.56,221.65,0,AMZN
2025-09-29 09:10:00-04:00,221.67,221.75,221.62,221.665,0,AMZN
2025-09-29 09:15:00-04:00,221.6993,221.71,221.56,221.5701,0,AMZN
2025-09-29 09:20:00-04:00,221.5697,221.6,221.52,221.575,0,AMZN
2025-09-29 09:25:00-04:00,221.59,221.75,220.01,220.04,0,AMZN
2025-09-29 09:30:00-04:00,220.03500366210938,220.43910217285156,219.3563995361328,220.07000732421875,2175360,AMZN
2025-09-29 09:35:00-04:00,220.0500030517578,220.8699951171875,219.7700958251953,220.7050018310547,692702,AMZN
2025-09-29 09:40:00-04:00,220.69000244140625,221.35000610351562,220.6699981689453,220.7449951171875,693678,AMZN
2025-09-29 09:45:00-04:00,220.74000549316406,221.0290069580078,220.33999633789062,220.99000549316406,539108,AMZN
