symbol,name,category,avg_return,median_return,best_return,worst_return,avg_profit_factor,total_trades,positive_ratio
AAPL,AAPL,stocks,26.64911161111084,29.21776524999981,44.33955799999967,7.86667199999958,1.3047261287977727,3570,1.0
AMZN,AMZN,stocks,41.72869838888859,43.88859299999963,91.67392099999965,19.817363999999525,1.3812118223444831,4056,1.0
COST,COST,stocks,44.65423044444549,36.36284825000109,111.04151200000135,20.54151300000109,1.2862269011122804,7104,1.0
DIA,DIA,stocks,35.55480175000339,33.83799850000385,57.01649800000372,23.012911500002463,1.3832166210084864,10566,1.0
GOOGL,GOOGL,stocks,59.561600333333075,54.3900007499997,119.35212199999977,35.189756999999716,1.6980436663030387,3516,1.0
META,META,stocks,19.689118222222994,15.69256400000091,56.101993000000924,-8.242522999998656,1.2227063345218425,3828,0.8888888888888888
MSFT,MSFT,stocks,30.777807361112245,29.291365500001284,54.1418540000013,12.669962000000758,1.4080433149973675,3764,1.0
NFLX,NFLX,stocks,105.61831254694579,101.98423149250104,175.87077619500178,59.939497000001,1.5165823072622555,6640,1.0
PEP,PEP,stocks,26.06228295361047,27.759148454999494,62.20676678499921,3.8457946299992543,1.2066098452343261,6380,1.0
QQQ,QQQ,stocks,37.701111388889984,33.22737700000148,53.80820300000221,26.82286950000056,1.618200137975939,5394,1.0
SPY,SPY,stocks,33.31235002777895,31.91013200000116,47.43906200000116,23.732027000001363,1.876448590637802,5810,1.0
XLK,XLK,stocks,138.98095308333325,136.07216200000005,208.23946099999984,84.29890999999982,1.804917113827661,9898,1.0
