symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,total_trades
GOOGL,GOOGL,stocks,5m,5,0.5,0.01,101.63516949999965,101.63516949999965,1.5803098769067312,573
GOOGL,GOOGL,stocks,5m,5,0.5,0.02,122.94741899999917,122.94741899999917,1.5722018203725274,573
GOOGL,GOOGL,stocks,5m,5,1.0,0.01,69.26425299999872,69.26425299999872,1.2789333621393686,486
GOOGL,GOOGL,stocks,5m,5,1.0,0.02,87.00255999999855,87.00255999999855,1.2875346570279234,486
GOOGL,GOOGL,stocks,5m,5,2.0,0.01,63.34412099999914,63.34412099999914,1.3178525813442505,314
GOOGL,GOOGL,stocks,5m,5,2.0,0.02,80.18540499999915,80.18540499999915,1.325026239397707,314
GOOGL,GOOGL,stocks,5m,15,0.5,0.01,87.04842049999952,87.04842049999952,1.5826570634829549,491
GOOGL,GOOGL,stocks,5m,15,0.5,0.02,111.57347799999937,111.57347799999937,1.5493183701776547,491
GOOGL,GOOGL,stocks,5m,15,1.0,0.01,87.08925599999922,87.08925599999922,1.4656985540393506,395
GOOGL,GOOGL,stocks,5m,15,1.0,0.02,124.77944299999896,124.77944299999896,1.485601841138912,395
GOOGL,GOOGL,stocks,5m,15,2.0,0.01,74.2976239999996,74.2976239999996,1.4960007873246184,234
GOOGL,GOOGL,stocks,5m,15,2.0,0.02,95.34939799999945,95.34939799999945,1.470876622938253,234
MA,MA,stocks,15m,15,0.5,0.01,77.40622150000173,77.40622150000173,1.779654732975493,453
MA,MA,stocks,15m,15,0.5,0.02,92.13740800000177,92.13740800000177,1.8263731633801947,453
MA,MA,stocks,15m,15,1.0,0.01,32.69692900000206,32.69692900000206,1.2585568429126568,352
MA,MA,stocks,15m,15,1.0,0.02,36.856720000002134,36.856720000002134,1.2653757724861259,352
MA,MA,stocks,15m,15,2.0,0.01,40.322033000001866,40.322033000001866,1.3373851198624658,224
MA,MA,stocks,15m,15,2.0,0.02,48.833841000001975,48.833841000001975,1.3618895667944755,224
MA,MA,stocks,5m,5,0.5,0.01,59.207592000001554,59.207592000001554,1.5246157440974195,572
MA,MA,stocks,5m,5,0.5,0.02,60.14193100000149,60.14193100000149,1.4914980232468371,572
MA,MA,stocks,5m,5,1.0,0.01,72.15246000000228,72.15246000000228,1.5010122358848743,455
MA,MA,stocks,5m,5,1.0,0.02,71.9353650000021,71.9353650000021,1.4668400736030036,455
MA,MA,stocks,5m,5,2.0,0.01,52.04954500000196,52.04954500000196,1.3584983217758417,324
MA,MA,stocks,5m,5,2.0,0.02,56.46360800000221,56.46360800000221,1.3674276246856851,324
MA,MA,stocks,5m,15,0.5,0.01,50.26241100000165,50.26241100000165,1.425235511939264,503
MA,MA,stocks,5m,15,0.5,0.02,56.92292650000172,56.92292650000172,1.4301690594623409,503
MA,MA,stocks,5m,15,1.0,0.01,20.510601000002136,20.510601000002136,1.142880168012697,405
MA,MA,stocks,5m,15,1.0,0.02,26.450402000002377,26.450402000002377,1.1683927209994507,405
MA,MA,stocks,5m,15,2.0,0.01,44.31650100000192,44.31650100000192,1.3533356699552572,247
MA,MA,stocks,5m,15,2.0,0.02,53.71247100000197,53.71247100000197,1.3821226545197602,247
NFLX,NFLX,stocks,15m,15,0.5,0.01,106.8737475100011,106.8737475100011,1.9163836212945353,425
NFLX,NFLX,stocks,15m,15,0.5,0.02,152.27209830000095,152.27209830000095,1.77932118738396,425
NFLX,NFLX,stocks,15m,15,1.0,0.01,68.86665223000095,68.86665223000095,1.4569174668148055,301
NFLX,NFLX,stocks,15m,15,1.0,0.02,88.74249595000117,88.74249595000117,1.3703685233021048,301
NFLX,NFLX,stocks,15m,15,2.0,0.01,45.42219300000073,45.42219300000073,1.3683990230938456,185
NFLX,NFLX,stocks,15m,15,2.0,0.02,54.11735200000097,54.11735200000097,1.281199060703462,185
NFLX,NFLX,stocks,5m,5,0.5,0.01,129.15040651000106,129.15040651000106,1.8063945828312136,577
NFLX,NFLX,stocks,5m,5,0.5,0.02,177.34680880000138,177.34680880000138,1.8134424370919053,577
NFLX,NFLX,stocks,5m,5,1.0,0.01,110.61355409000164,110.61355409000164,1.4738430792753383,456
NFLX,NFLX,stocks,5m,5,1.0,0.02,141.06718867000214,141.06718867000214,1.4389937397940253,456
NFLX,NFLX,stocks,5m,5,2.0,0.01,70.51262318000113,70.51262318000113,1.337512503521057,297
NFLX,NFLX,stocks,5m,5,2.0,0.02,91.89058562000136,91.89058562000136,1.322012539191397,297
NFLX,NFLX,stocks,5m,15,0.5,0.01,81.60529754500105,81.60529754500105,1.584833396045967,483
NFLX,NFLX,stocks,5m,15,0.5,0.02,109.0414113350012,109.0414113350012,1.5062347656134685,483
NFLX,NFLX,stocks,5m,15,1.0,0.01,51.34931723000113,51.34931723000113,1.3086913183076476,342
NFLX,NFLX,stocks,5m,15,1.0,0.02,54.87701102000139,54.87701102000139,1.2232595220531217,342
NFLX,NFLX,stocks,5m,15,2.0,0.01,36.74518900000094,36.74518900000094,1.242462770608794,218
NFLX,NFLX,stocks,5m,15,2.0,0.02,37.222300000001304,37.222300000001304,1.1592938915016782,218
PEP,PEP,stocks,15m,15,0.5,0.01,60.15406112999903,60.15406112999903,1.6116431382008243,399
PEP,PEP,stocks,15m,15,0.5,0.02,62.20676678499921,62.20676678499921,1.505319227162334,399
PEP,PEP,stocks,15m,15,1.0,0.01,28.656611539999595,28.656611539999595,1.2244182750228159,299
PEP,PEP,stocks,15m,15,1.0,0.02,30.08145869999946,30.08145869999946,1.1916086763674856,299
PEP,PEP,stocks,15m,15,2.0,0.01,27.6491903299998,27.6491903299998,1.2654880000289859,178
PEP,PEP,stocks,15m,15,2.0,0.02,34.03233483999955,34.03233483999955,1.2524034648354787,178
PEP,PEP,stocks,5m,5,0.5,0.01,29.941641699998833,29.941641699998833,1.2460176794025317,546
PEP,PEP,stocks,5m,5,0.5,0.02,33.097332269999114,33.097332269999114,1.248148702852539,546
PEP,PEP,stocks,5m,5,1.0,0.01,19.675820599999152,19.675820599999152,1.1233071823797183,433
PEP,PEP,stocks,5m,5,1.0,0.02,20.561928149999346,20.561928149999346,1.1182577078979883,433
PEP,PEP,stocks,5m,5,2.0,0.01,8.71284973999973,8.71284973999973,1.066620093649437,275
PEP,PEP,stocks,5m,5,2.0,0.02,13.006405599999798,13.006405599999798,1.0887924865608443,275
PEP,PEP,stocks,5m,15,0.5,0.01,27.869106579999187,27.869106579999187,1.2368806341226304,467
PEP,PEP,stocks,5m,15,0.5,0.02,28.085436279999264,28.085436279999264,1.204131209233628,467
PEP,PEP,stocks,5m,15,1.0,0.01,3.8457946299992543,3.8457946299992543,1.0261463052033932,377
PEP,PEP,stocks,5m,15,1.0,0.02,4.245680879999,4.245680879999,1.0250829456847508,377
PEP,PEP,stocks,5m,15,2.0,0.01,15.596073639999593,15.596073639999593,1.1326365800559983,216
PEP,PEP,stocks,5m,15,2.0,0.02,21.702599769999505,21.702599769999505,1.1520749055564847,216
UNH,UNH,stocks,15m,15,0.5,0.01,63.875078000000684,63.875078000000684,1.691115794402972,381
UNH,UNH,stocks,15m,15,0.5,0.02,94.71972450000099,94.71972450000099,1.671111759378879,381
UNH,UNH,stocks,15m,15,1.0,0.01,53.07695100000092,53.07695100000092,1.4599477132114766,275
UNH,UNH,stocks,15m,15,1.0,0.02,76.58252000000107,76.58252000000107,1.43556240081763,275
UNH,UNH,stocks,15m,15,2.0,0.01,11.080068000000539,11.080068000000539,1.133923838753892,146
UNH,UNH,stocks,15m,15,2.0,0.02,16.124671000000834,16.124671000000834,1.1236573025720724,146
UNH,UNH,stocks,5m,5,0.5,0.01,61.631581500001154,61.631581500001154,1.5124847409151934,489
UNH,UNH,stocks,5m,5,0.5,0.02,71.8845885000017,71.8845885000017,1.443802175916783,489
UNH,UNH,stocks,5m,5,1.0,0.01,51.451875000001436,51.451875000001436,1.3489474044335683,371
UNH,UNH,stocks,5m,5,1.0,0.02,64.87850500000204,64.87850500000204,1.3310185295259036,371
UNH,UNH,stocks,5m,5,2.0,0.01,32.318495000001,32.318495000001,1.2797724637559955,218
UNH,UNH,stocks,5m,5,2.0,0.02,35.394643000001324,35.394643000001324,1.2209086232143684,218
UNH,UNH,stocks,5m,15,0.5,0.01,67.09661500000078,67.09661500000078,1.6573988446793613,421
UNH,UNH,stocks,5m,15,0.5,0.02,97.21480700000109,97.21480700000109,1.6557488056784948,421
UNH,UNH,stocks,5m,15,1.0,0.01,34.62804200000099,34.62804200000099,1.27910595960222,306
UNH,UNH,stocks,5m,15,1.0,0.02,46.5625400000013,46.5625400000013,1.2638774228835885,306
UNH,UNH,stocks,5m,15,2.0,0.01,19.198927000000875,19.198927000000875,1.1957792568707646,175
UNH,UNH,stocks,5m,15,2.0,0.02,22.150046000000966,22.150046000000966,1.152726755770382,175
XLK,XLK,stocks,15m,15,0.5,0.01,130.53391799999997,130.53391799999997,2.2729945649259427,566
XLK,XLK,stocks,15m,15,0.5,0.02,141.61040600000013,141.61040600000013,2.28756300173364,566
XLK,XLK,stocks,15m,15,1.0,0.01,165.26381300000003,165.26381300000003,1.8198039843598137,515
XLK,XLK,stocks,15m,15,1.0,0.02,179.6740619999996,179.6740619999996,1.8278326440827484,515
XLK,XLK,stocks,15m,15,2.0,0.01,109.69885199999997,109.69885199999997,1.5331487333101614,389
XLK,XLK,stocks,15m,15,2.0,0.02,126.80888499999976,126.80888499999976,1.574042542172987,389
XLK,XLK,stocks,5m,5,0.5,0.01,98.69046550000024,98.69046550000024,2.021635903103867,678
XLK,XLK,stocks,5m,5,0.5,0.02,98.56651900000053,98.56651900000053,1.98671626977205,678
XLK,XLK,stocks,5m,5,1.0,0.01,160.55516400000013,160.55516400000013,1.8044695219751332,658
XLK,XLK,stocks,5m,5,1.0,0.02,161.90495499999983,161.90495499999983,1.7891000678834357,658
XLK,XLK,stocks,5m,5,2.0,0.01,199.27490999999995,199.27490999999995,1.7290874092835016,552
XLK,XLK,stocks,5m,5,2.0,0.02,208.23946099999984,208.23946099999984,1.7359926728813309,552
XLK,XLK,stocks,5m,15,0.5,0.01,116.3436190000003,116.3436190000003,2.004537772316225,613
XLK,XLK,stocks,5m,15,0.5,0.02,119.68447399999987,119.68447399999987,1.9547221594344288,613
XLK,XLK,stocks,5m,15,1.0,0.01,150.9749789999992,150.9749789999992,1.6966836221417847,555
XLK,XLK,stocks,5m,15,1.0,0.02,157.01319199999932,157.01319199999932,1.674533025652972,555
XLK,XLK,stocks,5m,15,2.0,0.01,84.29890999999982,84.29890999999982,1.3826670154988672,423
XLK,XLK,stocks,5m,15,2.0,0.02,92.5205709999999,92.5205709999999,1.3929771383690122,423
