symbol,total_trades,wins,losses,win_rate,total_pnl,avg_win,avg_loss,profit_factor,final_capital,return_pct,max_drawdown,sharpe_ratio,period
COST,615,385,230,0.62601626,2018434.02,6674.410173,2396.582159,4.661798139,2028434.02,20184.3402,-7.725530557,5.955211184,Full 2 Years
PEP,765,448,317,0.585620915,2936006.066,10348.37247,5362.980436,2.726996565,2946006.066,29360.06066,-8.784308222,4.251141432,Full 2 Years
XLK,1124,668,456,0.59430605,56818144.15,120354.5906,51707.72456,3.409721069,56828144.15,568181.4415,-8.702712767,3.921830003,Full 2 Years
COST,66,37,29,0.560606061,5546.298368,251.151577,129.1831029,2.480469687,15546.29837,55.46298368,-5.880041168,6.965917932,2023 Bull
PEP,70,36,34,0.514285714,4494.485353,237.7101595,119.5023644,2.106176822,14494.48535,44.94485353,-8.784308222,5.596080064,2023 Bull
XLK,142,78,64,0.549295775,14630.08166,328.2747096,171.4897765,2.332995066,24630.08166,146.3008166,-3.940399,6.305273161,2023 Bull
COST,549,348,201,0.633879781,1294769.774,4732.536753,1752.005057,4.676724927,1304769.774,12947.69774,-7.725530557,6.336426804,Recent 2024
PEP,695,412,283,0.592805755,2022501.323,7749.035665,4134.633818,2.728483851,2032501.323,20225.01323,-6.821240757,4.468655244,Recent 2024
XLK,982,590,392,0.600814664,23062657.63,55307.35885,24409.9084,3.410222494,23072657.63,230626.5763,-8.702712767,4.213036898,Recent 2024
