symbol,net_pnl,avg_return,win_rate,trades
GC=F,1050.0,1.75,1.0,6
AUDUSD=X,600.0,0.5,0.6666666666666666,12
GLD,450.0,0.75,0.6666666666666666,6
GOOGL,450.0,0.75,0.6666666666666666,6
SI=F,450.0,0.75,0.6666666666666666,6
TSLA,450.0,0.75,0.6666666666666666,6
USDJPY=X,450.0,0.75,0.6666666666666666,6
AMZN,150.0,0.25,0.3333333333333333,6
QQQ,150.0,0.25,0.3333333333333333,6
HD,150.0,0.25,0.3333333333333333,6
META,150.0,0.25,0.3333333333333333,6
JPM,0.0,0.0,0.0,6
MSFT,0.0,0.0,0.0,6
NFLX,0.0,0.0,0.0,6
AAPL,0.0,0.0,0.0,6
BA,0.0,0.0,0.0,6
AMD,-300.0,-0.25,0.3333333333333333,12
CL=F,-450.0,-0.375,0.3333333333333333,12
EURUSD=X,-750.0,-0.625,0.3333333333333333,12
GBPUSD=X,-750.0,-0.625,0.3333333333333333,12
UNH,-900.0,-0.75,0.0,12
ES=F,-1350.0,-1.125,0.16666666666666666,12
MES=F,-1350.0,-1.125,0.16666666666666666,12
NVDA,-1350.0,-1.125,0.16666666666666666,12
SPY,-1350.0,-1.125,0.16666666666666666,12
XOM,-1800.0,-1.5,0.0,12
