Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol
2025-06-26 10:30:00-04:00,301.0400085449219,301.4200134277344,300.9599914550781,301.05999755859375,0,0.0,0.0,0.0,VTI
2025-06-26 11:30:00-04:00,301.0400085449219,301.57000732421875,300.92999267578125,301.4537048339844,224556,0.0,0.0,0.0,VTI
2025-06-26 12:30:00-04:00,301.44000244140625,301.57000732421875,301.32000732421875,301.5249938964844,176440,0.0,0.0,0.0,VTI
2025-06-26 13:30:00-04:00,301.55999755859375,301.93499755859375,301.5171813964844,301.7900085449219,273798,0.0,0.0,0.0,VTI
2025-06-26 14:30:00-04:00,301.8299865722656,301.9100036621094,301.5,301.8363952636719,294371,0.0,0.0,0.0,VTI
2025-06-26 15:30:00-04:00,301.79998779296875,302.19000244140625,301.6499938964844,302.0,281813,0.0,0.0,0.0,VTI
2025-06-26 16:00:00-04:00,301.94,302.37,301.4,302.0,0,0.0,0.0,0.0,VTI
2025-06-26 17:00:00-04:00,302.0,302.18,301.78,302.0,0,0.0,0.0,0.0,VTI
2025-06-26 18:00:00-04:00,302.0,302.3645,301.97,302.36,0,0.0,0.0,0.0,VTI
2025-06-26 19:00:00-04:00,302.29,302.3568,301.99,301.99,0,0.0,0.0,0.0,VTI
2025-06-27 04:00:00-04:00,302.37,302.88,302.29,302.58,0,0.0,0.0,0.0,VTI
2025-06-27 05:00:00-04:00,302.59,302.9,302.51,302.9,0,0.0,0.0,0.0,VTI
2025-06-27 06:00:00-04:00,302.9,303.0,302.82,302.92,0,0.0,0.0,0.0,VTI
2025-06-27 07:00:00-04:00,302.92,303.09,302.43,302.8,0,0.0,0.0,0.0,VTI
2025-06-27 08:00:00-04:00,302.8,303.1,301.129,303.02,0,0.0,0.0,0.0,VTI
2025-06-27 09:00:00-04:00,303.01,303.1,302.47,302.68,0,0.0,0.0,0.0,VTI
2025-06-27 09:30:00-04:00,302.67999267578125,303.7900085449219,302.42999267578125,303.4483947753906,821621,0.0,0.0,0.0,VTI
2025-06-27 10:30:00-04:00,303.4649963378906,303.80999755859375,303.3450012207031,303.6300048828125,390766,0.0,0.0,0.0,VTI
2025-06-27 11:30:00-04:00,303.6499938964844,304.239990234375,303.6400146484375,304.2300109863281,320412,0.0,0.0,0.0,VTI
2025-06-27 12:30:00-04:00,304.2200012207031,304.260009765625,303.70001220703125,303.7598876953125,512035,0.0,0.0,0.0,VTI
2025-06-27 13:30:00-04:00,303.7040100097656,303.8399963378906,302.15179443359375,302.19500732421875,396880,0.0,0.0,0.0,VTI
2025-06-27 14:30:00-04:00,302.1600036621094,302.2699890136719,301.3900146484375,302.1400146484375,369048,0.0,0.0,0.0,VTI
2025-06-27 15:30:00-04:00,302.17999267578125,303.4599914550781,302.1730041503906,303.2699890136719,346298,0.0,0.0,0.0,VTI
2025-06-27 16:00:00-04:00,303.31,303.5,302.81,303.1109,0,0.0,0.0,0.0,VTI
2025-06-27 17:00:00-04:00,303.3,303.3,303.02,303.3,0,0.0,0.0,0.0,VTI
2025-06-27 18:00:00-04:00,303.3,303.3,302.43,302.88,0,0.0,0.0,0.0,VTI
2025-06-27 19:00:00-04:00,303.01,303.01,302.37,302.6,0,0.0,0.0,0.0,VTI
2025-06-30 04:00:00-04:00,302.6,303.93,302.0,303.93,0,0.0,0.0,0.0,VTI
2025-06-30 05:00:00-04:00,303.42,303.93,303.42,303.57,0,0.0,0.0,0.0,VTI
2025-06-30 06:00:00-04:00,303.57,303.87,303.33,303.87,0,0.0,0.0,0.0,VTI
2025-06-30 07:00:00-04:00,303.87,303.87,303.28,303.74,0,0.0,0.0,0.0,VTI
2025-06-30 08:00:00-04:00,303.63,304.0,302.0,303.65,0,0.0,0.0,0.0,VTI
2025-06-30 09:00:00-04:00,303.65,303.65,302.3968,303.64,0,0.0,0.0,0.0,VTI
2025-06-30 09:30:00-04:00,303.739990234375,303.739990234375,303.0299987792969,303.3999938964844,737334,0.913,0.0,0.0,VTI
2025-06-30 10:30:00-04:00,303.44000244140625,303.44000244140625,302.8800048828125,303.1050109863281,477239,0.0,0.0,0.0,VTI
2025-06-30 11:30:00-04:00,303.125,303.44000244140625,303.04998779296875,303.1400146484375,281252,0.0,0.0,0.0,VTI
2025-06-30 12:30:00-04:00,303.1199951171875,303.5398864746094,303.11029052734375,303.2900085449219,303931,0.0,0.0,0.0,VTI
2025-06-30 13:30:00-04:00,303.2799987792969,303.32000732421875,302.6000061035156,303.1300048828125,324457,0.0,0.0,0.0,VTI
2025-06-30 14:30:00-04:00,303.1199951171875,304.1000061035156,302.760009765625,303.93499755859375,344496,0.0,0.0,0.0,VTI
2025-06-30 15:30:00-04:00,303.8500061035156,304.5299987792969,303.6700134277344,303.9100036621094,492258,0.0,0.0,0.0,VTI
2025-06-30 16:00:00-04:00,303.93,304.2,303.3,303.5,0,0.0,0.0,0.0,VTI
2025-06-30 17:00:00-04:00,303.92,303.92,303.5,303.83,0,0.0,0.0,0.0,VTI
2025-06-30 18:00:00-04:00,303.81,303.81,303.66,303.67,0,0.0,0.0,0.0,VTI
2025-06-30 19:00:00-04:00,303.8,303.85,303.55,303.79,0,0.0,0.0,0.0,VTI
2025-07-01 04:00:00-04:00,303.92,303.92,303.4,303.59,0,0.0,0.0,0.0,VTI
2025-07-01 05:00:00-04:00,303.6,303.9,303.6,303.87,0,0.0,0.0,0.0,VTI
2025-07-01 06:00:00-04:00,303.88,303.88,303.6,303.64,0,0.0,0.0,0.0,VTI
2025-07-01 07:00:00-04:00,303.71,303.84,303.59,303.61,0,0.0,0.0,0.0,VTI
2025-07-01 08:00:00-04:00,303.61,306.3988,303.0,303.03,0,0.0,0.0,0.0,VTI
2025-07-01 09:00:00-04:00,302.77,303.93,302.77,303.22,0,0.0,0.0,0.0,VTI
2025-07-01 09:30:00-04:00,303.0400085449219,304.1000061035156,303.0299987792969,303.5975036621094,654401,0.0,0.0,0.0,VTI
2025-07-01 10:30:00-04:00,303.6000061035156,303.8699951171875,302.79998779296875,303.79901123046875,689716,0.0,0.0,0.0,VTI
2025-07-01 11:30:00-04:00,303.78338623046875,304.4100036621094,303.2200012207031,304.06500244140625,401995,0.0,0.0,0.0,VTI
2025-07-01 12:30:00-04:00,304.07000732421875,304.4363098144531,303.75,304.3800048828125,450833,0.0,0.0,0.0,VTI
