Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol
2024-09-26 00:00:00-04:00,414.73581743166045,415.6022345641222,413.71189722636035,415.1099548339844,2703700,0.0,0.0,0.0,DIA
2024-09-27 00:00:00-04:00,416.0649155825639,419.6191903189795,415.72031381448005,416.41937255859375,3667700,0.0,0.0,0.0,DIA
2024-09-30 00:00:00-04:00,415.8975879340868,416.76397495248364,412.60913315290213,416.5867614746094,3819800,0.0,0.0,0.0,DIA
2024-10-01 00:00:00-04:00,415.8975986479003,416.61630778658304,412.8159228912174,414.9917907714844,5101300,0.0,0.0,0.0,DIA
2024-10-02 00:00:00-04:00,415.31666520189646,415.9763331992058,413.1014066227291,415.39544677734375,2599600,0.0,0.0,0.0,DIA
2024-10-03 00:00:00-04:00,413.8496967389739,414.617651873106,411.82150676815377,413.4952697753906,2534400,0.0,0.0,0.0,DIA
2024-10-04 00:00:00-04:00,415.84839466919556,417.06923884451925,413.1802468149693,416.8723449707031,2520900,0.0,0.0,0.0,DIA
2024-10-07 00:00:00-04:00,415.59241079981746,416.39975682945885,411.80188062804814,413.1310119628906,2632600,0.0,0.0,0.0,DIA
2024-10-08 00:00:00-04:00,414.01711169222415,414.7752116662363,412.2448866211941,414.3026123046875,1872900,0.0,0.0,0.0,DIA
2024-10-09 00:00:00-04:00,414.3911980333289,419.0875353024189,413.54446137069147,418.4869384765625,3935100,0.0,0.0,0.0,DIA
2024-10-10 00:00:00-04:00,418.4377434153399,418.50666978420736,416.50801541163116,418.1029968261719,2179000,0.0,0.0,0.0,DIA
2024-10-11 00:00:00-04:00,418.7134264595712,422.4449150522874,418.4476062344361,422.11016845703125,3753500,0.0,0.0,0.0,DIA
2024-10-14 00:00:00-04:00,421.7064611889304,424.75860113388535,420.5939043339891,424.2367858886719,2180600,0.0,0.0,0.0,DIA
2024-10-15 00:00:00-04:00,422.7008466587776,423.488512155685,420.4363722036976,420.9385070800781,3291200,0.0,0.0,0.0,DIA
2024-10-16 00:00:00-04:00,420.5840485219958,424.4238239101643,420.32808352702875,424.06939697265625,2583700,0.0,0.0,0.0,DIA
2024-10-17 00:00:00-04:00,425.86134233843796,426.2059441466527,424.54203631377123,425.7727355957031,3462800,0.0,0.0,0.0,DIA
2024-10-18 00:00:00-04:00,425.7323620673882,426.658169337753,423.83148455295134,426.10662841796875,2303700,0.149,0.0,0.0,DIA
2024-10-21 00:00:00-04:00,425.89974346934844,426.50054731408545,422.28518202253326,422.8859558105469,2702600,0.0,0.0,0.0,DIA
2024-10-22 00:00:00-04:00,421.18210972259715,423.9201270053182,420.70934750908464,422.8268737792969,2306100,0.0,0.0,0.0,DIA
2024-10-23 00:00:00-04:00,420.58131887175244,421.3003057914031,416.533399370441,418.73956298828125,4006500,0.0,0.0,0.0,DIA
2024-10-24 00:00:00-04:00,417.91228592210564,418.25700652985944,415.5682218574527,417.38043212890625,1936600,0.0,0.0,0.0,DIA
2024-10-25 00:00:00-04:00,419.02515380978383,419.5668360590021,414.1203475819135,414.7802429199219,2518800,0.0,0.0,0.0,DIA
2024-10-28 00:00:00-04:00,417.15387952437146,418.40472025109017,416.8781090594627,417.6660461425781,2912000,0.0,0.0,0.0,DIA
2024-10-29 00:00:00-04:00,415.8538086178101,418.55242156547513,415.39090500461634,416.1197204589844,2697700,0.0,0.0,0.0,DIA
2024-10-30 00:00:00-04:00,415.64692378202017,418.23721208004036,415.08555438608005,415.3810119628906,2933600,0.0,0.0,0.0,DIA
2024-10-31 00:00:00-04:00,412.8991411633631,413.588552300045,410.7224931406821,411.3627014160156,4297100,0.0,0.0,0.0,DIA
