Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol
2025-07-03 04:00:00-04:00,305.9,308.38,305.31,306.4,0,0.0,0.0,0.0,VTI
2025-07-03 04:15:00-04:00,306.4,306.4,306.4,306.4,0,0.0,0.0,0.0,VTI
2025-07-03 04:30:00-04:00,306.25,306.3,306.23,306.3,0,0.0,0.0,0.0,VTI
2025-07-03 04:45:00-04:00,306.5,306.5,306.0,306.12,0,0.0,0.0,0.0,VTI
2025-07-03 05:00:00-04:00,306.05,306.14,306.05,306.09,0,0.0,0.0,0.0,VTI
2025-07-03 05:15:00-04:00,306.09,306.43,306.09,306.43,0,0.0,0.0,0.0,VTI
2025-07-03 05:30:00-04:00,306.23,306.23,306.23,306.23,0,0.0,0.0,0.0,VTI
2025-07-03 05:45:00-04:00,306.26,306.26,306.26,306.26,0,0.0,0.0,0.0,VTI
2025-07-03 06:00:00-04:00,306.25,306.4,306.09,306.39,0,0.0,0.0,0.0,VTI
2025-07-03 06:15:00-04:00,306.13,306.22,306.1,306.22,0,0.0,0.0,0.0,VTI
2025-07-03 06:30:00-04:00,306.23,306.33,306.23,306.28,0,0.0,0.0,0.0,VTI
2025-07-03 06:45:00-04:00,306.27,306.33,306.16,306.18,0,0.0,0.0,0.0,VTI
2025-07-03 07:00:00-04:00,306.16,306.16,305.82,306.0,0,0.0,0.0,0.0,VTI
2025-07-03 07:15:00-04:00,305.98,306.18,305.97,306.18,0,0.0,0.0,0.0,VTI
2025-07-03 07:30:00-04:00,306.17,306.18,306.12,306.12,0,0.0,0.0,0.0,VTI
2025-07-03 07:45:00-04:00,306.07,306.17,306.07,306.17,0,0.0,0.0,0.0,VTI
2025-07-03 08:00:00-04:00,303.5012,308.4388,303.5012,306.16,0,0.0,0.0,0.0,VTI
2025-07-03 08:15:00-04:00,306.41,306.51,306.13,306.39,0,0.0,0.0,0.0,VTI
2025-07-03 08:30:00-04:00,306.65,306.96,306.25,306.66,0,0.0,0.0,0.0,VTI
2025-07-03 08:45:00-04:00,306.96,306.96,306.13,306.24,0,0.0,0.0,0.0,VTI
2025-07-03 09:00:00-04:00,306.24,306.6,306.13,306.58,0,0.0,0.0,0.0,VTI
2025-07-03 09:30:00-04:00,306.54998779296875,307.17999267578125,306.54998779296875,307.0849914550781,346268,0.0,0.0,0.0,VTI
2025-07-03 09:45:00-04:00,307.1199951171875,307.5899963378906,307.0400085449219,307.4198913574219,110799,0.0,0.0,0.0,VTI
2025-07-03 10:00:00-04:00,307.4100036621094,307.8500061035156,307.3900146484375,307.7300109863281,166588,0.0,0.0,0.0,VTI
2025-07-03 10:15:00-04:00,307.739990234375,307.8800048828125,307.6000061035156,307.75,203123,0.0,0.0,0.0,VTI
2025-07-03 10:30:00-04:00,307.7799987792969,308.0315856933594,307.67999267578125,308.0199890136719,210024,0.0,0.0,0.0,VTI
2025-07-03 10:45:00-04:00,308.010009765625,308.04998779296875,307.9100036621094,307.95001220703125,135438,0.0,0.0,0.0,VTI
2025-07-03 11:00:00-04:00,307.96990966796875,308.2099914550781,307.96990966796875,308.1700134277344,192829,0.0,0.0,0.0,VTI
2025-07-03 11:15:00-04:00,308.15460205078125,308.1700134277344,307.8599853515625,307.989990234375,115417,0.0,0.0,0.0,VTI
2025-07-03 11:30:00-04:00,307.9800109863281,308.3299865722656,307.9800109863281,308.3299865722656,79848,0.0,0.0,0.0,VTI
2025-07-03 11:45:00-04:00,308.31500244140625,308.32000732421875,308.14019775390625,308.20001220703125,127221,0.0,0.0,0.0,VTI
2025-07-03 12:00:00-04:00,308.2200012207031,308.2900085449219,308.1700134277344,308.2099914550781,105864,0.0,0.0,0.0,VTI
2025-07-03 12:15:00-04:00,308.2099914550781,308.2099914550781,308.05029296875,308.1449890136719,106446,0.0,0.0,0.0,VTI
2025-07-03 12:30:00-04:00,308.1400146484375,308.3999938964844,308.1050109863281,308.32501220703125,98792,0.0,0.0,0.0,VTI
2025-07-03 12:45:00-04:00,308.3434143066406,308.3434143066406,308.24029541015625,308.29998779296875,7113,0.0,0.0,0.0,VTI
2025-07-03 13:00:00-04:00,308.0299987792969,308.5,308.0,308.29998779296875,0,0.0,0.0,0.0,VTI
