Datetime,Open,High,Low,Close,Volume,Symbol
2025-10-10 04:00:00-04:00,733.49,734.68,733.08,734.21,0,META
2025-10-10 04:05:00-04:00,734.32,734.35,733.51,733.51,0,META
2025-10-10 04:10:00-04:00,733.92,735.0,733.52,734.77,0,META
2025-10-10 04:15:00-04:00,735.0,735.5,734.62,735.37,0,META
2025-10-10 04:20:00-04:00,735.17,735.92,735.0,735.67,0,META
2025-10-10 04:25:00-04:00,735.5,736.0,735.5,736.0,0,META
2025-10-10 04:30:00-04:00,735.84,736.0,735.2,735.53,0,META
2025-10-10 04:35:00-04:00,735.79,735.99,735.69,735.99,0,META
2025-10-10 04:40:00-04:00,736.0,736.19,735.92,736.19,0,META
2025-10-10 04:45:00-04:00,736.28,737.0,736.28,737.0,0,META
2025-10-10 04:50:00-04:00,736.8,736.83,736.31,736.31,0,META
2025-10-10 04:55:00-04:00,736.3,736.54,736.07,736.26,0,META
2025-10-10 05:00:00-04:00,736.4,736.57,734.11,735.91,0,META
2025-10-10 05:05:00-04:00,736.65,736.65,736.18,736.63,0,META
2025-10-10 05:10:00-04:00,736.39,736.63,736.13,736.32,0,META
2025-10-10 05:15:00-04:00,736.29,736.56,736.01,736.33,0,META
2025-10-10 05:20:00-04:00,736.14,736.17,735.43,736.14,0,META
2025-10-10 05:25:00-04:00,736.1,736.3,736.02,736.3,0,META
2025-10-10 05:30:00-04:00,736.08,736.58,735.81,736.48,0,META
2025-10-10 05:35:00-04:00,736.34,736.64,736.21,736.54,0,META
2025-10-10 05:40:00-04:00,736.58,736.58,735.84,735.98,0,META
2025-10-10 05:45:00-04:00,736.41,736.47,735.21,735.21,0,META
2025-10-10 05:50:00-04:00,735.2,735.3,734.0,734.3,0,META
2025-10-10 05:55:00-04:00,734.28,734.88,733.78,733.78,0,META
2025-10-10 06:00:00-04:00,734.02,734.02,732.53,732.69,0,META
2025-10-10 06:05:00-04:00,732.98,737.23,732.98,736.5,0,META
2025-10-10 06:10:00-04:00,736.63,736.63,735.58,735.58,0,META
2025-10-10 06:15:00-04:00,735.81,735.85,735.58,735.7,0,META
2025-10-10 06:20:00-04:00,735.77,736.28,735.77,735.77,0,META
2025-10-10 06:25:00-04:00,735.7,735.92,735.43,735.92,0,META
2025-10-10 06:30:00-04:00,736.13,736.19,735.18,735.25,0,META
2025-10-10 06:35:00-04:00,735.14,735.19,734.95,735.17,0,META
2025-10-10 06:40:00-04:00,735.31,735.67,735.2,735.67,0,META
2025-10-10 06:45:00-04:00,735.5,735.5,735.38,735.38,0,META
2025-10-10 06:50:00-04:00,735.3,735.5,735.27,735.5,0,META
2025-10-10 06:55:00-04:00,735.5,735.68,735.06,735.3,0,META
2025-10-10 07:00:00-04:00,735.3,735.35,734.91,734.91,0,META
2025-10-10 07:05:00-04:00,735.0,735.0,734.26,734.51,0,META
2025-10-10 07:10:00-04:00,734.62,734.8,734.52,734.75,0,META
2025-10-10 07:15:00-04:00,734.75,734.75,734.4,734.74,0,META
2025-10-10 07:20:00-04:00,734.68,734.98,734.64,734.76,0,META
2025-10-10 07:25:00-04:00,734.83,734.87,734.76,734.76,0,META
2025-10-10 07:30:00-04:00,734.7,734.95,734.7,734.95,0,META
