Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-06-26 10:30:00-04:00,544.1799926757812,547.3800048828125,542.0700073242188,545.4600219726562,0,0.0,0.0,MA
2025-06-26 11:30:00-04:00,545.1699829101562,547.1849975585938,544.47998046875,545.7999877929688,412790,0.0,0.0,MA
2025-06-26 12:30:00-04:00,545.739990234375,546.64501953125,545.1699829101562,545.8900146484375,174061,0.0,0.0,MA
2025-06-26 13:30:00-04:00,545.8300170898438,546.780029296875,544.739990234375,545.8499755859375,243374,0.0,0.0,MA
2025-06-26 14:30:00-04:00,546.10302734375,547.0,545.4199829101562,546.47998046875,276411,0.0,0.0,MA
2025-06-26 15:30:00-04:00,546.47998046875,548.0700073242188,545.7550048828125,546.1199951171875,534037,0.0,0.0,MA
2025-06-26 16:00:00-04:00,545.81,584.7823,541.0,546.32,0,0.0,0.0,MA
2025-06-26 17:00:00-04:00,546.75,550.56,545.81,550.56,0,0.0,0.0,MA
2025-06-26 18:00:00-04:00,545.81,550.56,545.81,547.59,0,0.0,0.0,MA
2025-06-26 19:00:00-04:00,547.61,552.87,545.0,547.6,0,0.0,0.0,MA
2025-06-27 04:00:00-04:00,547.89,550.98,547.52,547.93,0,0.0,0.0,MA
2025-06-27 05:00:00-04:00,547.89,548.47,547.6,547.6,0,0.0,0.0,MA
2025-06-27 06:00:00-04:00,547.82,547.82,547.0,547.0,0,0.0,0.0,MA
2025-06-27 07:00:00-04:00,547.16,547.75,547.16,547.55,0,0.0,0.0,MA
2025-06-27 08:00:00-04:00,547.61,555.1188,545.1312,547.61,0,0.0,0.0,MA
2025-06-27 09:00:00-04:00,550.0,552.0,545.95,547.49,0,0.0,0.0,MA
2025-06-27 09:30:00-04:00,546.77001953125,554.218017578125,545.5474853515625,553.6500244140625,720355,0.0,0.0,MA
2025-06-27 10:30:00-04:00,553.6099853515625,554.0499267578125,552.0900268554688,553.0800170898438,351751,0.0,0.0,MA
2025-06-27 11:30:00-04:00,553.2849731445312,556.52001953125,553.2849731445312,556.125,245253,0.0,0.0,MA
2025-06-27 12:30:00-04:00,556.1099853515625,556.7000122070312,554.0999755859375,554.2899780273438,205135,0.0,0.0,MA
2025-06-27 13:30:00-04:00,554.5499877929688,554.8699951171875,552.2899780273438,552.3400268554688,169669,0.0,0.0,MA
2025-06-27 14:30:00-04:00,552.030029296875,552.6900024414062,550.5399780273438,551.3300170898438,229465,0.0,0.0,MA
2025-06-27 15:30:00-04:00,551.489990234375,552.3200073242188,550.510009765625,550.719970703125,484160,0.0,0.0,MA
2025-06-27 16:00:00-04:00,551.05,553.0,545.2,550.32,0,0.0,0.0,MA
2025-06-27 17:00:00-04:00,551.89,553.0,551.57,553.0,0,0.0,0.0,MA
2025-06-27 18:00:00-04:00,551.35,552.9252,549.5112,550.62,0,0.0,0.0,MA
2025-06-27 19:00:00-04:00,550.62,553.0,549.51,553.0,0,0.0,0.0,MA
2025-06-30 04:00:00-04:00,552.72,554.98,552.72,554.92,0,0.0,0.0,MA
2025-06-30 05:00:00-04:00,554.83,555.34,554.07,554.54,0,0.0,0.0,MA
2025-06-30 06:00:00-04:00,554.75,554.95,553.6,554.76,0,0.0,0.0,MA
2025-06-30 07:00:00-04:00,554.76,554.96,554.16,554.41,0,0.0,0.0,MA
2025-06-30 08:00:00-04:00,554.41,557.0,550.1875,552.8,0,0.0,0.0,MA
2025-06-30 09:00:00-04:00,552.86,557.0,550.86,551.48,0,0.0,0.0,MA
2025-06-30 09:30:00-04:00,552.5,557.2913208007812,551.89501953125,555.989990234375,524049,0.0,0.0,MA
2025-06-30 10:30:00-04:00,555.8499755859375,555.8499755859375,552.9000244140625,554.989990234375,522234,0.0,0.0,MA
2025-06-30 11:30:00-04:00,554.969970703125,557.9099731445312,554.489990234375,557.2750244140625,306972,0.0,0.0,MA
2025-06-30 12:30:00-04:00,557.2750244140625,559.760009765625,557.2750244140625,559.5809936523438,243062,0.0,0.0,MA
2025-06-30 13:30:00-04:00,559.5999755859375,560.1743774414062,558.280029296875,559.52001953125,68932,0.0,0.0,MA
2025-06-30 14:30:00-04:00,559.489990234375,561.0599975585938,559.1300048828125,560.1400146484375,327818,0.0,0.0,MA
2025-06-30 15:30:00-04:00,560.0599975585938,562.6300048828125,559.0,561.97998046875,617110,0.0,0.0,MA
2025-06-30 16:00:00-04:00,561.94,561.941,546.25,560.17,0,0.0,0.0,MA
2025-06-30 17:00:00-04:00,560.6003,560.6003,533.7071,560.0,0,0.0,0.0,MA
2025-06-30 18:00:00-04:00,560.49,560.5,555.15,560.5,0,0.0,0.0,MA
2025-06-30 19:00:00-04:00,560.7,560.74,555.1512,555.1512,0,0.0,0.0,MA
2025-07-01 04:00:00-04:00,561.76,562.0,559.84,560.74,0,0.0,0.0,MA
2025-07-01 05:00:00-04:00,560.42,561.0,560.42,560.91,0,0.0,0.0,MA
2025-07-01 06:00:00-04:00,560.91,561.0,560.45,560.74,0,0.0,0.0,MA
2025-07-01 07:00:00-04:00,560.63,560.7,559.79,560.25,0,0.0,0.0,MA
2025-07-01 08:00:00-04:00,560.06,562.12,550.7512,559.25,0,0.0,0.0,MA
2025-07-01 09:00:00-04:00,559.64,561.94,555.0,560.15,0,0.0,0.0,MA
2025-07-01 09:30:00-04:00,559.3200073242188,562.2899780273438,557.0401000976562,561.2999877929688,918010,0.0,0.0,MA
2025-07-01 10:30:00-04:00,560.9201049804688,563.52001953125,560.9199829101562,562.6599731445312,333817,0.0,0.0,MA
2025-07-01 11:30:00-04:00,562.864990234375,563.5700073242188,560.640380859375,561.2999877929688,221632,0.0,0.0,MA
2025-07-01 12:30:00-04:00,561.2000122070312,564.4199829101562,561.1950073242188,564.4199829101562,242096,0.0,0.0,MA
2025-07-01 13:30:00-04:00,564.3699951171875,566.125,564.1300048828125,565.1799926757812,239231,0.0,0.0,MA
2025-07-01 14:30:00-04:00,565.3800048828125,566.3099975585938,564.6300048828125,565.7999877929688,207825,0.0,0.0,MA
2025-07-01 15:30:00-04:00,565.7999877929688,565.9099731445312,564.239990234375,564.760009765625,310773,0.0,0.0,MA
2025-07-01 16:00:00-04:00,564.61,567.68,563.01,565.27,0,0.0,0.0,MA
2025-07-01 17:00:00-04:00,565.27,566.98,564.0,564.81,0,0.0,0.0,MA
2025-07-01 18:00:00-04:00,564.81,566.69,564.0,566.69,0,0.0,0.0,MA
2025-07-01 19:00:00-04:00,566.69,566.69,564.61,565.1,0,0.0,0.0,MA
2025-07-02 04:00:00-04:00,564.61,566.43,564.61,566.4,0,0.0,0.0,MA
2025-07-02 05:00:00-04:00,566.4,566.4,565.2,565.2,0,0.0,0.0,MA
2025-07-02 06:00:00-04:00,565.2,566.01,565.2,566.01,0,0.0,0.0,MA
2025-07-02 07:00:00-04:00,566.01,566.98,565.3,566.98,0,0.0,0.0,MA
2025-07-02 08:00:00-04:00,566.88,570.0,553.3012,565.65,0,0.0,0.0,MA
2025-07-02 09:00:00-04:00,565.2056,569.0,559.5,565.68,0,0.0,0.0,MA
2025-07-02 09:30:00-04:00,562.9400024414062,565.989990234375,560.8300170898438,562.8499755859375,660083,0.0,0.0,MA
2025-07-02 10:30:00-04:00,562.9099731445312,563.0900268554688,558.8699951171875,559.530029296875,333777,0.0,0.0,MA
2025-07-02 11:30:00-04:00,559.52001953125,561.6799926757812,557.8800048828125,558.469970703125,292040,0.0,0.0,MA
2025-07-02 12:30:00-04:00,558.4400024414062,560.3099975585938,557.3900146484375,560.25,185413,0.0,0.0,MA
