group,net_pnl,avg_return,win_rate,trades
MNQ=F,-900.0,-0.75,0.0,12
NQ=F,-900.0,-0.75,0.0,12
Others (aggregate),-2850.0,0.09134615384615384,0.3653846153846153,222
